timestamp,weekday,count
2026-06-28 14:12:01,6,12
2026-06-28 15:54:35,6,0
2026-06-28 17:33:12,6,0
2026-06-28 18:48:06,6,0
2026-06-28 20:21:51,6,0
2026-06-28 21:43:49,6,0
2026-06-28 23:16:24,6,9
2026-06-29 01:53:15,0,47
2026-06-29 07:02:19,0,30
2026-06-29 12:07:12,0,45
2026-06-29 16:11:22,0,21
2026-06-29 18:32:16,0,0
2026-06-29 20:30:07,0,0
2026-06-29 21:57:42,0,0
2026-06-29 23:14:03,0,8
2026-06-30 01:34:28,1,55
2026-06-30 05:54:43,1,21
2026-06-30 09:58:28,1,44
2026-06-30 12:22:18,1,36
2026-06-30 15:17:13,1,0
2026-06-30 17:26:49,1,0
2026-06-30 19:23:37,1,0
2026-06-30 21:18:12,1,0
2026-06-30 22:54:45,1,0
2026-07-01 00:18:29,2,50
2026-07-01 05:09:52,2,17
2026-07-01 12:16:39,2,53
2026-07-01 15:23:17,2,0
2026-07-01 17:32:28,2,0
2026-07-01 21:11:07,2,0
2026-07-01 22:50:42,2,0
2026-07-02 00:18:52,3,35
2026-07-02 04:44:44,3,20
2026-07-02 08:22:36,3,35
2026-07-02 11:15:36,3,41
2026-07-02 13:20:33,3,38
2026-07-02 15:54:39,3,0
2026-07-02 18:00:09,3,0
2026-07-02 19:46:54,3,0
2026-07-02 21:21:35,3,0
2026-07-02 22:43:22,3,0
2026-07-03 00:16:57,4,43
2026-07-03 04:29:19,4,21
2026-07-03 07:49:28,4,36
2026-07-03 10:48:30,4,39
2026-07-03 13:06:11,4,37
2026-07-03 15:24:54,4,0
2026-07-03 17:01:58,4,0
2026-07-03 18:23:13,4,0
2026-07-03 20:01:51,4,0
2026-07-03 21:20:53,4,0
2026-07-03 22:39:28,4,0
2026-07-04 00:15:34,5,52
2026-07-04 04:23:23,5,26
2026-07-04 07:27:08,5,37
2026-07-04 09:49:14,5,40
2026-07-04 11:44:13,5,24
2026-07-04 13:55:06,5,14
2026-07-04 15:19:40,5,0
2026-07-04 16:37:43,5,0
2026-07-04 18:12:33,5,0
2026-07-04 19:49:46,5,0
2026-07-04 21:12:16,5,0
2026-07-04 22:35:39,5,0
2026-07-04 23:42:51,5,19
2026-07-05 04:16:56,6,13
2026-07-05 07:46:30,6,39
2026-07-05 10:25:31,6,32
2026-07-05 12:00:59,6,31
2026-07-05 14:04:00,6,11
2026-07-05 15:35:48,6,0
2026-07-05 16:43:06,6,0
2026-07-05 18:13:29,6,0
2026-07-05 19:54:42,6,0
2026-07-05 21:16:41,6,0
2026-07-05 22:36:51,6,0
2026-07-05 23:44:07,6,11
2026-07-06 04:35:49,0,22
2026-07-06 08:50:11,0,16
2026-07-06 12:57:22,0,57
2026-07-06 16:28:12,0,0
2026-07-06 18:29:08,0,0
2026-07-06 20:32:15,0,0
2026-07-06 22:01:26,0,0
2026-07-06 23:21:05,0,10
2026-07-07 01:20:50,1,64
2026-07-07 05:49:46,1,25
2026-07-07 09:58:36,1,38
2026-07-07 12:37:23,1,58
2026-07-07 15:49:09,1,0
2026-07-07 18:15:45,1,0
2026-07-07 20:30:00,1,0
2026-07-07 21:59:21,1,0
2026-07-07 23:13:23,1,9
2026-07-08 01:07:44,2,65
2026-07-08 04:51:26,2,17
2026-07-08 07:40:29,2,31
2026-07-08 10:29:31,2,40
2026-07-08 12:06:49,2,41
2026-07-08 14:40:25,2,0
2026-07-08 16:47:23,2,0
2026-07-08 18:40:36,2,0
2026-07-08 20:35:47,2,0
2026-07-08 21:47:45,2,0
2026-07-08 23:21:41,2,12
2026-07-09 01:12:56,3,64
2026-07-09 05:57:07,3,20
2026-07-09 09:55:20,3,34
